"conceptRef","codelist","titolo"
"FREQ","CL_FREQ","Principali aggregati territoriali di Contabilità nazionale - edizioni ottobre 2014 - dicembre 2018"
"BRANCA_ATTIV_REV2","CL_BRANCA_ATTIVITAREV2","Principali aggregati territoriali di Contabilità nazionale - edizioni ottobre 2014 - dicembre 2018"
"ADJUSTMENT","CL_CORREZ","Principali aggregati territoriali di Contabilità nazionale - edizioni ottobre 2014 - dicembre 2018"
"DCCN_COICOP_COFOG","CL_DCCN_COICOP_COFOG","Principali aggregati territoriali di Contabilità nazionale - edizioni ottobre 2014 - dicembre 2018"
"ITTER107","CL_ITTER107","Principali aggregati territoriali di Contabilità nazionale - edizioni ottobre 2014 - dicembre 2018"
"PRODOTTI1","CL_PRODOTTI1","Principali aggregati territoriali di Contabilità nazionale - edizioni ottobre 2014 - dicembre 2018"
"TIPPREZ","CL_TIPOLOG_PREZZO","Principali aggregati territoriali di Contabilità nazionale - edizioni ottobre 2014 - dicembre 2018"
"TIPO_AGGR","CL_TIPO_DATO_CN1","Principali aggregati territoriali di Contabilità nazionale - edizioni ottobre 2014 - dicembre 2018"
"EDI","CL_T_BIS","Principali aggregati territoriali di Contabilità nazionale - edizioni ottobre 2014 - dicembre 2018"
"VAL","CL_VAL","Principali aggregati territoriali di Contabilità nazionale - edizioni ottobre 2014 - dicembre 2018"
