"conceptRef","codelist","titolo"
"FREQ","CL_FREQ","Principali aggregati territoriali di Contabilità Nazionale"
"BRANCA_ATTIV_REV2","CL_BRANCA_ATTIVITAREV2","Principali aggregati territoriali di Contabilità Nazionale"
"ADJUSTMENT","CL_CORREZ","Principali aggregati territoriali di Contabilità Nazionale"
"VAL","CL_VAL","Principali aggregati territoriali di Contabilità Nazionale"
"DCCN_COICOP_COFOG","CL_DCCN_COICOP_COFOG","Principali aggregati territoriali di Contabilità Nazionale"
"EDI","CL_T_BIS","Principali aggregati territoriali di Contabilità Nazionale"
"ITTER107","CL_ITTER107","Principali aggregati territoriali di Contabilità Nazionale"
"PRODOTTI1","CL_PRODOTTI1","Principali aggregati territoriali di Contabilità Nazionale"
"TIPPREZ","CL_TIPOLOG_PREZZO","Principali aggregati territoriali di Contabilità Nazionale"
"TIPO_AGGR","CL_TIPO_DATO_CN1","Principali aggregati territoriali di Contabilità Nazionale"
