"conceptRef","codelist","titolo"
"FREQ","CL_FREQ","Indicatori complementari"
"IMPIEGO_ATECO2002","CL_ATECO2002","Indicatori complementari"
"IMPIEGO_ATECO2007","CL_ATECO_2007","Indicatori complementari"
"CITTADINANZA","CL_CITTADINANZA","Indicatori complementari"
"CONDIZIONE_DICH","CL_CONDIZIONE_DICH","Indicatori complementari"
"CLASSE_ETA","CL_ETA1","Indicatori complementari"
"ITTER107","CL_ITTER107","Indicatori complementari"
"MOTIVO_NO_RICLAV","CL_MOTIVOPS1","Indicatori complementari"
"POSIZPROF","CL_POSIZPROF","Indicatori complementari"
"SESSO","CL_SEXISTAT1","Indicatori complementari"
"TIPO_DATO","CL_TIPO_DATO_FOL","Indicatori complementari"
"TITOLO_STUDIO","CL_TITOLO_STUDIO","Indicatori complementari"
