"conceptRef","codelist","titolo"
"FREQ","CL_FREQ","Occupati (migliaia)"
"TIPO_DATO","CL_TIPO_DATO_FOL","Occupati (migliaia)"
"ATECO_2002","CL_ATECO2002","Occupati (migliaia)"
"ATECO_2007","CL_ATECO_2007","Occupati (migliaia)"
"CARATT_OCC","CL_CARATT_OCC","Occupati (migliaia)"
"CITTADINANZA","CL_CITTADINANZA","Occupati (migliaia)"
"CLASSE_ETA","CL_ETA1","Occupati (migliaia)"
"ITTER107","CL_ITTER107","Occupati (migliaia)"
"POSIZPROF","CL_POSIZPROF","Occupati (migliaia)"
"PROFESSIONE2001","CL_PROFESSIONE","Occupati (migliaia)"
"PROFESSIONE2011","CL_PROFESSIONE1","Occupati (migliaia)"
"PROFILO_PROF","CL_PROFILO_PROF","Occupati (migliaia)"
"TEMPO_PIENO_PARZ","CL_REGIME_ORARIO","Occupati (migliaia)"
"SESSO","CL_SEXISTAT1","Occupati (migliaia)"
"TITOLO_STUDIO","CL_TITOLO_STUDIO","Occupati (migliaia)"
