"conceptRef","codelist","titolo"
"FREQ","CL_FREQ","Procedimenti e reati al momento della decisione del PM - adulti"
"INTERV_ISCR_DEF","CL_DURATA","Procedimenti e reati al momento della decisione del PM - adulti"
"ETA_PR_AUTORE","CL_ETA1","Procedimenti e reati al momento della decisione del PM - adulti"
"DISTR_CORTEAPP","CL_GIUST_CORTE","Procedimenti e reati al momento della decisione del PM - adulti"
"TIPO_REATO","CL_GIUST_REATO","Procedimenti e reati al momento della decisione del PM - adulti"
"ITTER107","CL_ITTER107","Procedimenti e reati al momento della decisione del PM - adulti"
"TIPO_COMUNE","CL_ITTER107","Procedimenti e reati al momento della decisione del PM - adulti"
"MESE_ACCAD","CL_MESE","Procedimenti e reati al momento della decisione del PM - adulti"
"MESE_DEF","CL_MESE","Procedimenti e reati al momento della decisione del PM - adulti"
"NUM_AUTORI","CL_NUMEROSITA","Procedimenti e reati al momento della decisione del PM - adulti"
"TIP_DELITTI_CONC","CL_NUMEROSITA","Procedimenti e reati al momento della decisione del PM - adulti"
"ID_AUTORE","CL_SI_NO","Procedimenti e reati al momento della decisione del PM - adulti"
"TIPO_DATO","CL_TIPO_DATO35","Procedimenti e reati al momento della decisione del PM - adulti"
"TIPO_DECISIONE","CL_TIPO_DECISIONE","Procedimenti e reati al momento della decisione del PM - adulti"
