"conceptRef","codelist","titolo"
"FREQ","CL_FREQ","Aborti spontanei - dimissioni rispetto al luogo dell'evento"
"COMPLICAZIONE","CL_COMPL","Aborti spontanei - dimissioni rispetto al luogo dell'evento"
"SETT_AMEN","CL_DURATA","Aborti spontanei - dimissioni rispetto al luogo dell'evento"
"CLASSE_ETA","CL_ETA1","Aborti spontanei - dimissioni rispetto al luogo dell'evento"
"PAESE_CITTAD","CL_ISO","Aborti spontanei - dimissioni rispetto al luogo dell'evento"
"REG_RESIDENZA","CL_ITTER107","Aborti spontanei - dimissioni rispetto al luogo dell'evento"
"ITTER107","CL_ITTER107","Aborti spontanei - dimissioni rispetto al luogo dell'evento"
"LUOGO_AB","CL_LUOGOEVENTO","Aborti spontanei - dimissioni rispetto al luogo dell'evento"
"METODO_PMA","CL_PMA","Aborti spontanei - dimissioni rispetto al luogo dell'evento"
"USO_PMA","CL_SI_NO","Aborti spontanei - dimissioni rispetto al luogo dell'evento"
"TERAPIA_ANT","CL_TERANT","Aborti spontanei - dimissioni rispetto al luogo dell'evento"
"TIPO_INTERV","CL_TIPOINT","Aborti spontanei - dimissioni rispetto al luogo dell'evento"
"TIPO_DATO","CL_TIPO_DATO14","Aborti spontanei - dimissioni rispetto al luogo dell'evento"
