"conceptRef","codelist","titolo"
"FREQ","CL_FREQ","Aborti spontanei - dimissioni rispetto al luogo di residenza della donna"
"USO_PMA","CL_SI_NO","Aborti spontanei - dimissioni rispetto al luogo di residenza della donna"
"STATO_CIV","CL_STATCIV2","Aborti spontanei - dimissioni rispetto al luogo di residenza della donna"
"STORIA_RIPD","CL_STRIPRODUTTIVA","Aborti spontanei - dimissioni rispetto al luogo di residenza della donna"
"TIPO_DATO","CL_TIPO_DATO14","Aborti spontanei - dimissioni rispetto al luogo di residenza della donna"
"TITOLO_STUDIO","CL_TITOLO_STUDIO","Aborti spontanei - dimissioni rispetto al luogo di residenza della donna"
"CONDIZIONE_PROF","CL_CONDIZIONE_DICH","Aborti spontanei - dimissioni rispetto al luogo di residenza della donna"
"SETT_AMEN","CL_DURATA","Aborti spontanei - dimissioni rispetto al luogo di residenza della donna"
"ETA_CLASSE_ETA","CL_ETA1","Aborti spontanei - dimissioni rispetto al luogo di residenza della donna"
"ITTER107","CL_ITTER107","Aborti spontanei - dimissioni rispetto al luogo di residenza della donna"
"NUMER_EVENTO","CL_NUMEROSITA","Aborti spontanei - dimissioni rispetto al luogo di residenza della donna"
"METODO_PMA","CL_PMA","Aborti spontanei - dimissioni rispetto al luogo di residenza della donna"
