"conceptRef","codelist","titolo"
"FREQ","CL_FREQ","Incidenti stradali con lesioni alle persone"
"GIORNO","CL_GIORNOSETT","Incidenti stradali con lesioni alle persone"
"INCID_MORTALE","CL_SI_NO","Incidenti stradali con lesioni alle persone"
"INTERSEZIONE","CL_INTERSEZIONE","Incidenti stradali con lesioni alle persone"
"ITTER107","CL_ITTER107","Incidenti stradali con lesioni alle persone"
"TIPO_DATO","CL_TIPO_DATO22","Incidenti stradali con lesioni alle persone"
"LOC_INC","CL_LOCSTRADALE","Incidenti stradali con lesioni alle persone"
"NAT_INC","CL_NATURAINCIDENTE","Incidenti stradali con lesioni alle persone"
"MESE_VAR","CL_MESE2","Incidenti stradali con lesioni alle persone"
"ORA_INCIDENTE","CL_ORA","Incidenti stradali con lesioni alle persone"
