"conceptRef","codelist","titolo"
"FREQ","CL_FREQ","Interruzioni volontarie della gravidanza - Caratteristiche della donna"
"ASSENSOXMIN","CL_ASSENSO","Interruzioni volontarie della gravidanza - Caratteristiche della donna"
"CONDIZIONE_PROF","CL_CONDIZIONE_DICH","Interruzioni volontarie della gravidanza - Caratteristiche della donna"
"ETA_CLASSE_ETA","CL_ETA1","Interruzioni volontarie della gravidanza - Caratteristiche della donna"
"CITTADINANZA","CL_ISO","Interruzioni volontarie della gravidanza - Caratteristiche della donna"
"TERR_EVENTO","CL_ITTER107","Interruzioni volontarie della gravidanza - Caratteristiche della donna"
"TERR_NASCITA","CL_ITTER107","Interruzioni volontarie della gravidanza - Caratteristiche della donna"
"TERR_RES","CL_ITTER107","Interruzioni volontarie della gravidanza - Caratteristiche della donna"
"NUMER_EVENTO","CL_NUMEROSITA","Interruzioni volontarie della gravidanza - Caratteristiche della donna"
"STATO_CIV","CL_STATCIV2","Interruzioni volontarie della gravidanza - Caratteristiche della donna"
"STORIA_RIPD","CL_STRIPRODUTTIVA","Interruzioni volontarie della gravidanza - Caratteristiche della donna"
"TIPO_DATO","CL_TIPO_DATO14","Interruzioni volontarie della gravidanza - Caratteristiche della donna"
"TITOLO_STUDIO","CL_TITOLO_STUDIO","Interruzioni volontarie della gravidanza - Caratteristiche della donna"
