"conceptRef","codelist","titolo"
"FREQ","CL_FREQ","Interruzioni volontarie della gravidanza caratteristiche dell'evento"
"ETA_GEST","CL_DURATA","Interruzioni volontarie della gravidanza caratteristiche dell'evento"
"ATTESA_CERT_INTERV","CL_DURATA","Interruzioni volontarie della gravidanza caratteristiche dell'evento"
"SETT_AMEN","CL_DURATA","Interruzioni volontarie della gravidanza caratteristiche dell'evento"
"ITTER107","CL_ITTER107","Interruzioni volontarie della gravidanza caratteristiche dell'evento"
"LUOGO_AB","CL_LUOGOEVENTO","Interruzioni volontarie della gravidanza caratteristiche dell'evento"
"MALFORM_FETO","CL_SI_NO","Interruzioni volontarie della gravidanza caratteristiche dell'evento"
"URGENZA","CL_SI_NO","Interruzioni volontarie della gravidanza caratteristiche dell'evento"
"TERAPIA_ANT","CL_TERANT","Interruzioni volontarie della gravidanza caratteristiche dell'evento"
"TIPO_INTERV","CL_TIPOINT","Interruzioni volontarie della gravidanza caratteristiche dell'evento"
"CERTIFICAZIONE","CL_TIPO_ATTIVITASAN","Interruzioni volontarie della gravidanza caratteristiche dell'evento"
"TIPO_DATO","CL_TIPO_DATO14","Interruzioni volontarie della gravidanza caratteristiche dell'evento"
"COMPLICAZIONE","CL_COMPL","Interruzioni volontarie della gravidanza caratteristiche dell'evento"
