"conceptRef","codelist","titolo"
"FREQ","CL_FREQ","Matrimoni"
"ETA_SPOSA","CL_ETA1","Matrimoni"
"ETA_SPOSO","CL_ETA1","Matrimoni"
"ITTER107","CL_ITTER107","Matrimoni"
"RITO","CL_RITO1","Matrimoni"
"STATO_CIV_SPOSA","CL_STATCIV2","Matrimoni"
"STATO_CIV_SPOSO","CL_STATCIV2","Matrimoni"
"TIPO_CONV_BIS","CL_TIPO_CONV_BIS","Matrimoni"
"TIPO_DATO","CL_TIPO_DATO15","Matrimoni"
"TITOLO_ST_SPOSA","CL_TITOLO_STUDIO","Matrimoni"
"TITOLO_ST_SPOSO","CL_TITOLO_STUDIO","Matrimoni"
"MESE_CELEB","CL_T_BIS","Matrimoni"
