"conceptRef","codelist","titolo"
"FREQ","CL_FREQ","Cittadinanza degli sposi"
"CITTADINANZA","CL_ISO","Cittadinanza degli sposi"
"CITTAD_SPOSA","CL_ISO","Cittadinanza degli sposi"
"CITTAD_SPOSO","CL_ISO","Cittadinanza degli sposi"
"ITTER107","CL_ITTER107","Cittadinanza degli sposi"
"ORDINE_MATRIM","CL_ORDINE","Cittadinanza degli sposi"
"RITO","CL_RITO1","Cittadinanza degli sposi"
"SAME_CITTAD","CL_SI_NO","Cittadinanza degli sposi"
"TIPOLOGIA_COPPIA","CL_TIPCOPPIA","Cittadinanza degli sposi"
"TIPO_DATO","CL_TIPO_DATO15","Cittadinanza degli sposi"
"TITOLO_ST_SPOSA","CL_TITOLO_STUDIO","Cittadinanza degli sposi"
"TITOLO_ST_SPOSO","CL_TITOLO_STUDIO","Cittadinanza degli sposi"
