"conceptRef","codelist","titolo"
"FREQ","CL_FREQ","Migrazioni (Trasferimenti di residenza)"
"ETA_NUM","CL_ETA1","Migrazioni (Trasferimenti di residenza)"
"PAESE_CITTAD","CL_ISO","Migrazioni (Trasferimenti di residenza)"
"TERR_DEST","CL_ITTER107","Migrazioni (Trasferimenti di residenza)"
"REF_AREA_O","CL_ITTER107","Migrazioni (Trasferimenti di residenza)"
"STATO_EST_DEST","CL_PAESI","Migrazioni (Trasferimenti di residenza)"
"STATO_EST_PROV","CL_PAESI","Migrazioni (Trasferimenti di residenza)"
"TIPO_TRASF","CL_PROV_DEST_Z","Migrazioni (Trasferimenti di residenza)"
"SESSO","CL_SEXISTAT1","Migrazioni (Trasferimenti di residenza)"
"TIPO_INDDEM","CL_TIPO_DATO15","Migrazioni (Trasferimenti di residenza)"
