"conceptRef","codelist","titolo"
"FREQ","CL_FREQ","Nati vivi"
"AREA_NASCITA","CL_AREA","Nati vivi"
"CITTAD_MADRE","CL_CITTADINANZA","Nati vivi"
"ETA_PADRE","CL_ETA1","Nati vivi"
"ETA_MADRE","CL_ETA1","Nati vivi"
"CITTAD_NATO","CL_ISO","Nati vivi"
"ANNO_NASCITA_MADRE","CL_T_BIS","Nati vivi"
"TERR_RES","CL_ITTER107","Nati vivi"
"STATO_CIV_PADRE","CL_STATCIV2","Nati vivi"
"STATO_CIV_MADRE","CL_STATCIV2","Nati vivi"
"NATI_VIVI_SI_NO","CL_SI_NO","Nati vivi"
"TIPO_COPPIA","CL_GENITORI","Nati vivi"
"TIPO_DATO","CL_TIPO_DATO15","Nati vivi"
