"conceptRef","codelist","titolo"
"FREQ","CL_FREQ","Dimissioni per disturbi psichici rispetto al luogo di dimissione"
"AGGREG_CLINICI","CL_AGGREGATI_CLINICI","Dimissioni per disturbi psichici rispetto al luogo di dimissione"
"ISTITUTOSAN","CL_ISTITUTO_SAN","Dimissioni per disturbi psichici rispetto al luogo di dimissione"
"REG_RESIDENZA","CL_ITTER107","Dimissioni per disturbi psichici rispetto al luogo di dimissione"
"REGIME","CL_REGIME","Dimissioni per disturbi psichici rispetto al luogo di dimissione"
"ATTIV","CL_TIPO_ATTIVITASAN","Dimissioni per disturbi psichici rispetto al luogo di dimissione"
"TERR_RICOVERO","CL_ITTER107","Dimissioni per disturbi psichici rispetto al luogo di dimissione"
"TIPO_DATO","CL_TIPO_DATO14","Dimissioni per disturbi psichici rispetto al luogo di dimissione"
"TIPO_PATOLOGIA","CL_PATOLOGIA","Dimissioni per disturbi psichici rispetto al luogo di dimissione"
"REPARTO_DIM","CL_REPARTO","Dimissioni per disturbi psichici rispetto al luogo di dimissione"
