"conceptRef","codelist","titolo"
"FREQ","CL_FREQ","Sposi - Caratteristiche demografiche"
"STACIVX","CL_STATCIV2","Sposi - Caratteristiche demografiche"
"TIPO_DATO","CL_TIPO_DATO15","Sposi - Caratteristiche demografiche"
"TITOLO_STUDIO","CL_TITOLO_STUDIO","Sposi - Caratteristiche demografiche"
"Y_END_PRE_MCU","CL_T_BIS","Sposi - Caratteristiche demografiche"
"ANNO_NASC","CL_T_BIS","Sposi - Caratteristiche demografiche"
"DURATA_VED_DIV","CL_ETA1","Sposi - Caratteristiche demografiche"
"ETA_MATRIM","CL_ETA1","Sposi - Caratteristiche demografiche"
"ITTER107","CL_ITTER107","Sposi - Caratteristiche demografiche"
"RITO","CL_RITO1","Sposi - Caratteristiche demografiche"
