"conceptRef","codelist","titolo"
"FREQ","CL_FREQ","Retribuzioni orarie dei dipendenti del settore privato"
"TIPO_DATO","CL_TIPO_DATO7","Retribuzioni orarie dei dipendenti del settore privato"
"TITOLO_STUDIO","CL_TITOLO_STUDIO","Retribuzioni orarie dei dipendenti del settore privato"
"ATECO_2007","CL_ATECO_2007","Retribuzioni orarie dei dipendenti del settore privato"
"TIP_CONT","CL_CARATT_OCC","Retribuzioni orarie dei dipendenti del settore privato"
"CLASSE_DIP","CL_CLLVT","Retribuzioni orarie dei dipendenti del settore privato"
"GIORNI_RETRIB","CL_DURATA","Retribuzioni orarie dei dipendenti del settore privato"
"ANZIANITA_AZ","CL_ETA1","Retribuzioni orarie dei dipendenti del settore privato"
"CLASSE_ETA","CL_ETA1","Retribuzioni orarie dei dipendenti del settore privato"
"PAESE_CITTAD","CL_ISO","Retribuzioni orarie dei dipendenti del settore privato"
"PAESE_NASC","CL_ISO","Retribuzioni orarie dei dipendenti del settore privato"
"ITTER107","CL_ITTER107","Retribuzioni orarie dei dipendenti del settore privato"
"REGIME_ORARIO","CL_REGIME_ORARIO","Retribuzioni orarie dei dipendenti del settore privato"
"SESSO","CL_SEXISTAT1","Retribuzioni orarie dei dipendenti del settore privato"
"QUALIFICA_CONTR","CL_PROFILO_PROF","Retribuzioni orarie dei dipendenti del settore privato"
