"conceptRef","codelist","titolo"
"FREQ","CL_FREQ","Esercizi ricettivi"
"ATECO_2007","CL_ATECO_2007","Esercizi ricettivi"
"ADJUSTMENT","CL_CORREZ","Esercizi ricettivi"
"PAESE_RES","CL_ISO","Esercizi ricettivi"
"ITTER107","CL_ITTER107","Esercizi ricettivi"
"CLAS_DIM","CL_NUMEROSITA","Esercizi ricettivi"
"TIPO_ESERCIZIO","CL_TIPO_ALLOGGIO2","Esercizi ricettivi"
"INDS","CL_TIPO_DATO7","Esercizi ricettivi"
"GRADO_URB","CL_TIPOITTER1","Esercizi ricettivi"
"LOCALITA_COST","CL_TIPOITTER1","Esercizi ricettivi"
"TYPE_LOC","CL_TIPOITTER1","Esercizi ricettivi"
