"conceptRef","codelist","titolo"
"FREQ","CL_FREQ","Prodotti agroalimentari di qualità DOP/IGP e STG"
"TIPO_ALLEVAMENTO","CL_TIPO_ALLEVAMENTO","Prodotti agroalimentari di qualità DOP/IGP e STG"
"TIP_VAR","CL_TIPO_DATO5","Prodotti agroalimentari di qualità DOP/IGP e STG"
"ZONA_ALTIM","CL_ZONA_ALTIM","Prodotti agroalimentari di qualità DOP/IGP e STG"
"SETT_PROD_DOP_IGP_STG","CL_AGRI_MADRE","Prodotti agroalimentari di qualità DOP/IGP e STG"
"ITTER107","CL_ITTER107","Prodotti agroalimentari di qualità DOP/IGP e STG"
"PROC_LAVORAZIONE","CL_PROC_LAVORAZIONE","Prodotti agroalimentari di qualità DOP/IGP e STG"
"SESSO","CL_SEXISTAT1","Prodotti agroalimentari di qualità DOP/IGP e STG"
"STATO_PRODOTTO","CL_STATO_AUTORIZ_CERT","Prodotti agroalimentari di qualità DOP/IGP e STG"
"DINAMICA_OPERAT","CL_STATO_AUTORIZ_CERT","Prodotti agroalimentari di qualità DOP/IGP e STG"
