"conceptRef","codelist","titolo"
"FREQ","CL_FREQ","Imprese - lavoratori dipendenti"
"CARATT_OCC","CL_CARATT_OCC","Imprese - lavoratori dipendenti"
"ADDETTI","CL_CLLVT","Imprese - lavoratori dipendenti"
"CLASSE_ETA","CL_ETA1","Imprese - lavoratori dipendenti"
"CLASSE_ETA_IMPR","CL_ETA1","Imprese - lavoratori dipendenti"
"FORMGIUR","CL_FORMGIUR","Imprese - lavoratori dipendenti"
"PAESE_NASC","CL_ISO","Imprese - lavoratori dipendenti"
"ITTER107","CL_ITTER107","Imprese - lavoratori dipendenti"
"QUAL_PROF1","CL_PROFILO_PROF","Imprese - lavoratori dipendenti"
"SESSO","CL_SEXISTAT1","Imprese - lavoratori dipendenti"
"TIPO_DATO","CL_TIPO_DATO_CIS","Imprese - lavoratori dipendenti"
"ATECO_2007","CL_ATECO_2007","Imprese - lavoratori dipendenti"
"REGIME_ORARIO","CL_REGIME_ORARIO","Imprese - lavoratori dipendenti"
