"conceptRef","codelist","titolo"
"FREQ","CL_FREQ","Imprese - lavoratori esterni per compensi percepiti e periodo di attività"
"ATECO_2007","CL_ATECO_2007","Imprese - lavoratori esterni per compensi percepiti e periodo di attività"
"ADDETTI","CL_CLLVT","Imprese - lavoratori esterni per compensi percepiti e periodo di attività"
"PER_ATT_CON","CL_DURATA","Imprese - lavoratori esterni per compensi percepiti e periodo di attività"
"CLASSE_ETA","CL_ETA1","Imprese - lavoratori esterni per compensi percepiti e periodo di attività"
"CLASSE_ETA_IMPR","CL_ETA1","Imprese - lavoratori esterni per compensi percepiti e periodo di attività"
"FORMGIUR","CL_FORMGIUR","Imprese - lavoratori esterni per compensi percepiti e periodo di attività"
"CLASS_COMP_AP","CL_IMPORTOEURO","Imprese - lavoratori esterni per compensi percepiti e periodo di attività"
"PAESE_NASC","CL_ISO","Imprese - lavoratori esterni per compensi percepiti e periodo di attività"
"ITTER107","CL_ITTER107","Imprese - lavoratori esterni per compensi percepiti e periodo di attività"
"SESSO","CL_SEXISTAT1","Imprese - lavoratori esterni per compensi percepiti e periodo di attività"
"IMPR_CONDIP","CL_SI_NO","Imprese - lavoratori esterni per compensi percepiti e periodo di attività"
"TIPO_DATO","CL_TIPO_DATO_CIS","Imprese - lavoratori esterni per compensi percepiti e periodo di attività"
