"conceptRef","codelist","titolo"
"FREQ","CL_FREQ","Imprese - lavoratori indipendenti"
"ATECO_2007","CL_ATECO_2007","Imprese - lavoratori indipendenti"
"ADDETTI","CL_CLLVT","Imprese - lavoratori indipendenti"
"CLASSE_ETA","CL_ETA1","Imprese - lavoratori indipendenti"
"CLASSE_ETA_IMPR","CL_ETA1","Imprese - lavoratori indipendenti"
"FORMGIUR","CL_FORMGIUR","Imprese - lavoratori indipendenti"
"PAESE_NASC","CL_ISO","Imprese - lavoratori indipendenti"
"ITTER107","CL_ITTER107","Imprese - lavoratori indipendenti"
"TIP_LAVIND","CL_PROFILO_PROF","Imprese - lavoratori indipendenti"
"SESSO","CL_SEXISTAT1","Imprese - lavoratori indipendenti"
"IMPR_CONDIP","CL_SI_NO","Imprese - lavoratori indipendenti"
"TIPO_DATO","CL_TIPO_DATO_CIS","Imprese - lavoratori indipendenti"
