"conceptRef","codelist","titolo"
"FREQ","CL_FREQ","Imprese - lavoratori temporanei"
"ATECO_2007","CL_ATECO_2007","Imprese - lavoratori temporanei"
"ADDETTI","CL_CLLVT","Imprese - lavoratori temporanei"
"PER_IMPRUT","CL_DURATA","Imprese - lavoratori temporanei"
"CLASSE_ETA","CL_ETA1","Imprese - lavoratori temporanei"
"CLASSE_ETA_IMPR","CL_ETA1","Imprese - lavoratori temporanei"
"FORMGIUR","CL_FORMGIUR","Imprese - lavoratori temporanei"
"PAESE_NASC","CL_ISO","Imprese - lavoratori temporanei"
"ITTER107","CL_ITTER107","Imprese - lavoratori temporanei"
"SESSO","CL_SEXISTAT1","Imprese - lavoratori temporanei"
"IMPR_CONDIP","CL_SI_NO","Imprese - lavoratori temporanei"
"TIPO_DATO","CL_TIPO_DATO_CIS","Imprese - lavoratori temporanei"
